xref,dname,gid,did,g,d
C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,4729,DOID:0060536,374,1159
C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,51103,DOID:0060536,434,1159
C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,55572,DOID:0060536,13004,1159
C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,79133,DOID:0060536,16896,1159
C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,80224,DOID:0060536,4126,1159
C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,91942,DOID:0060536,15626,1159
C0236969,Substance-Related Disorders,1012,DOID:303,5939,3672
C0236969,Substance-Related Disorders,10160,DOID:303,5496,3672
C0236969,Substance-Related Disorders,10207,DOID:303,5883,3672
C0236969,Substance-Related Disorders,10257,DOID:303,3917,3672
C0236969,Substance-Related Disorders,105,DOID:303,9486,3672
C0236969,Substance-Related Disorders,1080,DOID:303,12820,3672
C0236969,Substance-Related Disorders,11278,DOID:303,11964,3672
C0236969,Substance-Related Disorders,1129,DOID:303,10593,3672
C0236969,Substance-Related Disorders,1138,DOID:303,1587,3672
C0236969,Substance-Related Disorders,114134,DOID:303,3672,3672
C0236969,Substance-Related Disorders,114786,DOID:303,1,3672
C0236969,Substance-Related Disorders,114788,DOID:303,10,3672
C0236969,Substance-Related Disorders,121601,DOID:303,11802,3672
C0236969,Substance-Related Disorders,1268,DOID:303,7573,3672
C0236969,Substance-Related Disorders,140683,DOID:303,17011,3672
C0236969,Substance-Related Disorders,140733,DOID:303,7757,3672
C0236969,Substance-Related Disorders,143098,DOID:303,15573,3672
C0236969,Substance-Related Disorders,143379,DOID:303,15404,3672
C0236969,Substance-Related Disorders,143458,DOID:303,15371,3672
C0236969,Substance-Related Disorders,143503,DOID:303,18070,3672
C0236969,Substance-Related Disorders,147685,DOID:303,9296,3672
C0236969,Substance-Related Disorders,1565,DOID:303,15949,3672
C0236969,Substance-Related Disorders,1653,DOID:303,13130,3672
C0236969,Substance-Related Disorders,167465,DOID:303,15453,3672
C0236969,Substance-Related Disorders,1769,DOID:303,581,3672
C0236969,Substance-Related Disorders,1793,DOID:303,8209,3672
C0236969,Substance-Related Disorders,1813,DOID:303,5507,3672
C0236969,Substance-Related Disorders,1826,DOID:303,15501,3672
C0236969,Substance-Related Disorders,1962,DOID:303,14357,3672
C0236969,Substance-Related Disorders,2120,DOID:303,17037,3672
C0236969,Substance-Related Disorders,2166,DOID:303,5537,3672
C0236969,Substance-Related Disorders,2272,DOID:303,11415,3672
C0236969,Substance-Related Disorders,22925,DOID:303,12812,3672
C0236969,Substance-Related Disorders,22998,DOID:303,11110,3672
C0236969,Substance-Related Disorders,23034,DOID:303,2310,3672
C0236969,Substance-Related Disorders,23214,DOID:303,11612,3672
C0236969,Substance-Related Disorders,23307,DOID:303,884,3672
C0236969,Substance-Related Disorders,23345,DOID:303,15378,3672
C0236969,Substance-Related Disorders,253782,DOID:303,12325,3672
C0236969,Substance-Related Disorders,25807,DOID:303,7987,3672
C0236969,Substance-Related Disorders,259217,DOID:303,16519,3672
C0236969,Substance-Related Disorders,26230,DOID:303,16551,3672
C0236969,Substance-Related Disorders,2893,DOID:303,11287,3672
C0236969,Substance-Related Disorders,2898,DOID:303,11280,3672
C0236969,Substance-Related Disorders,29119,DOID:303,9956,3672
C0236969,Substance-Related Disorders,29126,DOID:303,922,3672
C0236969,Substance-Related Disorders,2915,DOID:303,16883,3672
C0236969,Substance-Related Disorders,2917,DOID:303,16885,3672
C0236969,Substance-Related Disorders,29922,DOID:303,6260,3672
C0236969,Substance-Related Disorders,344805,DOID:303,18958,3672
C0236969,Substance-Related Disorders,3643,DOID:303,2118,3672
C0236969,Substance-Related Disorders,3899,DOID:303,8350,3672
C0236969,Substance-Related Disorders,3983,DOID:303,13594,3672
C0236969,Substance-Related Disorders,401207,DOID:303,18556,3672
C0236969,Substance-Related Disorders,4482,DOID:303,8544,3672
C0236969,Substance-Related Disorders,4646,DOID:303,17456,3672
C0236969,Substance-Related Disorders,481,DOID:303,11630,3672
C0236969,Substance-Related Disorders,4852,DOID:303,12759,3672
C0236969,Substance-Related Disorders,4897,DOID:303,11444,3672
C0236969,Substance-Related Disorders,4985,DOID:303,6139,3672
C0236969,Substance-Related Disorders,5087,DOID:303,9199,3672
C0236969,Substance-Related Disorders,51082,DOID:303,4062,3672
C0236969,Substance-Related Disorders,51151,DOID:303,10758,3672
C0236969,Substance-Related Disorders,5137,DOID:303,5644,3672
C0236969,Substance-Related Disorders,51660,DOID:303,14092,3672
C0236969,Substance-Related Disorders,5366,DOID:303,8071,3672
C0236969,Substance-Related Disorders,54927,DOID:303,13098,3672
C0236969,Substance-Related Disorders,55198,DOID:303,6949,3672
C0236969,Substance-Related Disorders,55297,DOID:303,22,3672
C0236969,Substance-Related Disorders,55690,DOID:303,6693,3672
C0236969,Substance-Related Disorders,55691,DOID:303,6694,3672
C0236969,Substance-Related Disorders,55717,DOID:303,12900,3672
C0236969,Substance-Related Disorders,55742,DOID:303,13375,3672
C0236969,Substance-Related Disorders,5581,DOID:303,11935,3672
C0236969,Substance-Related Disorders,5583,DOID:303,11933,3672
C0236969,Substance-Related Disorders,55930,DOID:303,11538,3672
C0236969,Substance-Related Disorders,5768,DOID:303,16547,3672
C0236969,Substance-Related Disorders,57733,DOID:303,18101,3672
C0236969,Substance-Related Disorders,5890,DOID:303,13215,3672
C0236969,Substance-Related Disorders,64131,DOID:303,14827,3672
C0236969,Substance-Related Disorders,64478,DOID:303,18169,3672
C0236969,Substance-Related Disorders,64866,DOID:303,16407,3672
C0236969,Substance-Related Disorders,65217,DOID:303,10038,3672
C0236969,Substance-Related Disorders,6532,DOID:303,3386,3672
C0236969,Substance-Related Disorders,6555,DOID:303,4344,3672
C0236969,Substance-Related Disorders,6581,DOID:303,18773,3672
C0236969,Substance-Related Disorders,7260,DOID:303,9530,3672
C0236969,Substance-Related Disorders,79632,DOID:303,5301,3672
C0236969,Substance-Related Disorders,79750,DOID:303,10925,3672
C0236969,Substance-Related Disorders,79809,DOID:303,11325,3672
C0236969,Substance-Related Disorders,79875,DOID:303,13384,3672
C0236969,Substance-Related Disorders,80031,DOID:303,6456,3672
C0236969,Substance-Related Disorders,80034,DOID:303,18804,3672
C0236969,Substance-Related Disorders,80095,DOID:303,3171,3672
C0236969,Substance-Related Disorders,80206,DOID:303,4792,3672
C0236969,Substance-Related Disorders,8048,DOID:303,10624,3672
C0236969,Substance-Related Disorders,81035,DOID:303,15512,3672
C0236969,Substance-Related Disorders,83938,DOID:303,5856,3672
C0236969,Substance-Related Disorders,8412,DOID:303,6965,3672
C0236969,Substance-Related Disorders,84247,DOID:303,8409,3672
C0236969,Substance-Related Disorders,84668,DOID:303,12281,3672
C0236969,Substance-Related Disorders,84871,DOID:303,18245,3672
C0236969,Substance-Related Disorders,8569,DOID:303,17392,3672
C0236969,Substance-Related Disorders,9128,DOID:303,12058,3672
C0236969,Substance-Related Disorders,91752,DOID:303,12206,3672
C0236969,Substance-Related Disorders,9271,DOID:303,15120,3672
C0236969,Substance-Related Disorders,93664,DOID:303,3298,3672
C0236969,Substance-Related Disorders,9369,DOID:303,6106,3672
C0236969,Substance-Related Disorders,9465,DOID:303,8186,3672
C0236969,Substance-Related Disorders,9547,DOID:303,12797,3672
C0236969,Substance-Related Disorders,9557,DOID:303,11798,3672
C0236969,Substance-Related Disorders,9748,DOID:303,9565,3672
C0002878,"Anemia, Hemolytic",2056,DOID:583,12037,5273
C0002878,"Anemia, Hemolytic",2539,DOID:583,1475,5273
C0002878,"Anemia, Hemolytic",2729,DOID:583,1152,5273
C0002878,"Anemia, Hemolytic",2821,DOID:583,3610,5273
C0002878,"Anemia, Hemolytic",2936,DOID:583,17321,5273
C0002878,"Anemia, Hemolytic",3043,DOID:583,3262,5273
C0002878,"Anemia, Hemolytic",3162,DOID:583,17355,5273
C0002878,"Anemia, Hemolytic",3440,DOID:583,16490,5273
C0002878,"Anemia, Hemolytic",3704,DOID:583,17035,5273
C0002878,"Anemia, Hemolytic",6521,DOID:583,15599,5273
C0002878,"Anemia, Hemolytic",6710,DOID:583,2709,5273
C0002878,"Anemia, Hemolytic",7167,DOID:583,2264,5273
C0003873,Rheumatoid Arthritis,10057,DOID:7148,10985,5807
C0003873,Rheumatoid Arthritis,10125,DOID:7148,4191,5807
C0003873,Rheumatoid Arthritis,1021,DOID:7148,15840,5807
C0003873,Rheumatoid Arthritis,10257,DOID:7148,3917,5807
C0003873,Rheumatoid Arthritis,10274,DOID:7148,16356,5807
C0003873,Rheumatoid Arthritis,10586,DOID:7148,12775,5807
C0003873,Rheumatoid Arthritis,10628,DOID:7148,5202,5807
C0003873,Rheumatoid Arthritis,10666,DOID:7148,9750,5807
C0003873,Rheumatoid Arthritis,10678,DOID:7148,12687,5807
C0003873,Rheumatoid Arthritis,10745,DOID:7148,13568,5807
C0003873,Rheumatoid Arthritis,10956,DOID:7148,4437,5807
C0003873,Rheumatoid Arthritis,11102,DOID:7148,10309,5807
C0003873,Rheumatoid Arthritis,11170,DOID:7148,17575,5807
C0003873,Rheumatoid Arthritis,117289,DOID:7148,11072,5807
C0003873,Rheumatoid Arthritis,122618,DOID:7148,9471,5807
C0003873,Rheumatoid Arthritis,1235,DOID:7148,15015,5807
C0003873,Rheumatoid Arthritis,1244,DOID:7148,9728,5807
C0003873,Rheumatoid Arthritis,130540,DOID:7148,3270,5807
C0003873,Rheumatoid Arthritis,135,DOID:7148,17071,5807
C0003873,Rheumatoid Arthritis,1356,DOID:7148,13495,5807
C0003873,Rheumatoid Arthritis,1401,DOID:7148,3627,5807
C0003873,Rheumatoid Arthritis,1404,DOID:7148,12219,5807
C0003873,Rheumatoid Arthritis,1437,DOID:7148,13157,5807
C0003873,Rheumatoid Arthritis,1490,DOID:7148,14951,5807
C0003873,Rheumatoid Arthritis,1493,DOID:7148,14954,5807
C0003873,Rheumatoid Arthritis,1509,DOID:7148,17185,5807
C0003873,Rheumatoid Arthritis,151056,DOID:7148,8988,5807
C0003873,Rheumatoid Arthritis,156,DOID:7148,1115,5807
C0003873,Rheumatoid Arthritis,160364,DOID:7148,7515,5807
C0003873,Rheumatoid Arthritis,1656,DOID:7148,13133,5807
C0003873,Rheumatoid Arthritis,1687,DOID:7148,18652,5807
C0003873,Rheumatoid Arthritis,171425,DOID:7148,10609,5807
C0003873,Rheumatoid Arthritis,1719,DOID:7148,9355,5807
C0003873,Rheumatoid Arthritis,176,DOID:7148,457,5807
C0003873,Rheumatoid Arthritis,177,DOID:7148,456,5807
C0003873,Rheumatoid Arthritis,1776,DOID:7148,17090,5807
C0003873,Rheumatoid Arthritis,1803,DOID:7148,15830,5807
C0003873,Rheumatoid Arthritis,1827,DOID:7148,15500,5807
C0003873,Rheumatoid Arthritis,196,DOID:7148,2434,5807
C0003873,Rheumatoid Arthritis,200734,DOID:7148,8518,5807
C0003873,Rheumatoid Arthritis,2023,DOID:7148,12140,5807
C0003873,Rheumatoid Arthritis,2147,DOID:7148,15506,5807
C0003873,Rheumatoid Arthritis,219790,DOID:7148,13516,5807
C0003873,Rheumatoid Arthritis,2212,DOID:7148,5759,5807
C0003873,Rheumatoid Arthritis,221895,DOID:7148,15521,5807
C0003873,Rheumatoid Arthritis,22806,DOID:7148,9837,5807
C0003873,Rheumatoid Arthritis,2289,DOID:7148,12018,5807
C0003873,Rheumatoid Arthritis,23228,DOID:7148,1993,5807
C0003873,Rheumatoid Arthritis,23534,DOID:7148,9291,5807
C0003873,Rheumatoid Arthritis,2356,DOID:7148,8089,5807
C0003873,Rheumatoid Arthritis,23569,DOID:7148,12423,5807
C0003873,Rheumatoid Arthritis,23643,DOID:7148,2316,5807
C0003873,Rheumatoid Arthritis,23766,DOID:7148,18864,5807
C0003873,Rheumatoid Arthritis,240,DOID:7148,2211,5807
C0003873,Rheumatoid Arthritis,26147,DOID:7148,5156,5807
C0003873,Rheumatoid Arthritis,2618,DOID:7148,7145,5807
C0003873,Rheumatoid Arthritis,26191,DOID:7148,9250,5807
C0003873,Rheumatoid Arthritis,2625,DOID:7148,16316,5807
C0003873,Rheumatoid Arthritis,2638,DOID:7148,1063,5807
C0003873,Rheumatoid Arthritis,285704,DOID:7148,12480,5807
C0003873,Rheumatoid Arthritis,2870,DOID:7148,14362,5807
C0003873,Rheumatoid Arthritis,2920,DOID:7148,9217,5807
C0003873,Rheumatoid Arthritis,2974,DOID:7148,16404,5807
C0003873,Rheumatoid Arthritis,3059,DOID:7148,12180,5807
C0003873,Rheumatoid Arthritis,306,DOID:7148,12597,5807
C0003873,Rheumatoid Arthritis,3115,DOID:7148,7289,5807
C0003873,Rheumatoid Arthritis,3118,DOID:7148,11680,5807
C0003873,Rheumatoid Arthritis,3123,DOID:7148,16439,5807
C0003873,Rheumatoid Arthritis,3236,DOID:7148,11562,5807
C0003873,Rheumatoid Arthritis,3237,DOID:7148,14348,5807
C0003873,Rheumatoid Arthritis,3239,DOID:7148,14052,5807
C0003873,Rheumatoid Arthritis,326,DOID:7148,13267,5807
C0003873,Rheumatoid Arthritis,3290,DOID:7148,11774,5807
C0003873,Rheumatoid Arthritis,3394,DOID:7148,13161,5807
C0003873,Rheumatoid Arthritis,342132,DOID:7148,6779,5807
C0003873,Rheumatoid Arthritis,3458,DOID:7148,2530,5807
C0003873,Rheumatoid Arthritis,3486,DOID:7148,15724,5807
C0003873,Rheumatoid Arthritis,3491,DOID:7148,6418,5807
C0003873,Rheumatoid Arthritis,3516,DOID:7148,173,5807
C0003873,Rheumatoid Arthritis,3553,DOID:7148,16861,5807
C0003873,Rheumatoid Arthritis,3557,DOID:7148,16858,5807
C0003873,Rheumatoid Arthritis,3559,DOID:7148,16869,5807
C0003873,Rheumatoid Arthritis,356,DOID:7148,7517,5807
C0003873,Rheumatoid Arthritis,3560,DOID:7148,13626,5807
C0003873,Rheumatoid Arthritis,3569,DOID:7148,8535,5807
C0003873,Rheumatoid Arthritis,3570,DOID:7148,1027,5807
C0003873,Rheumatoid Arthritis,3572,DOID:7148,15454,5807
C0003873,Rheumatoid Arthritis,3576,DOID:7148,15230,5807
C0003873,Rheumatoid Arthritis,3586,DOID:7148,11765,5807
C0003873,Rheumatoid Arthritis,3606,DOID:7148,3415,5807
C0003873,Rheumatoid Arthritis,3654,DOID:7148,11107,5807
C0003873,Rheumatoid Arthritis,3655,DOID:7148,11108,5807
C0003873,Rheumatoid Arthritis,3663,DOID:7148,2767,5807
C0003873,Rheumatoid Arthritis,3798,DOID:7148,16838,5807
C0003873,Rheumatoid Arthritis,3899,DOID:7148,8350,5807
C0003873,Rheumatoid Arthritis,3934,DOID:7148,17957,5807
C0003873,Rheumatoid Arthritis,4082,DOID:7148,6617,5807
C0003873,Rheumatoid Arthritis,412,DOID:7148,5364,5807
C0003873,Rheumatoid Arthritis,4204,DOID:7148,12572,5807
C0003873,Rheumatoid Arthritis,4218,DOID:7148,3642,5807
C0003873,Rheumatoid Arthritis,4261,DOID:7148,13180,5807
C0003873,Rheumatoid Arthritis,4282,DOID:7148,10022,5807
C0003873,Rheumatoid Arthritis,4313,DOID:7148,7265,5807
C0003873,Rheumatoid Arthritis,4319,DOID:7148,7271,5807
C0003873,Rheumatoid Arthritis,4321,DOID:7148,16909,5807
C0003873,Rheumatoid Arthritis,4353,DOID:7148,5962,5807
C0003873,Rheumatoid Arthritis,4520,DOID:7148,4108,5807
C0003873,Rheumatoid Arthritis,4524,DOID:7148,14593,5807
C0003873,Rheumatoid Arthritis,4688,DOID:7148,3753,5807
C0003873,Rheumatoid Arthritis,471,DOID:7148,4693,5807
C0003873,Rheumatoid Arthritis,4794,DOID:7148,11339,5807
C0003873,Rheumatoid Arthritis,4795,DOID:7148,12071,5807
C0003873,Rheumatoid Arthritis,4982,DOID:7148,17753,5807
C0003873,Rheumatoid Arthritis,50943,DOID:7148,15892,5807
C0003873,Rheumatoid Arthritis,5138,DOID:7148,16053,5807
C0003873,Rheumatoid Arthritis,51561,DOID:7148,16465,5807
C0003873,Rheumatoid Arthritis,51744,DOID:7148,7725,5807
C0003873,Rheumatoid Arthritis,5243,DOID:7148,1896,5807
C0003873,Rheumatoid Arthritis,53347,DOID:7148,7102,5807
C0003873,Rheumatoid Arthritis,5341,DOID:7148,4153,5807
C0003873,Rheumatoid Arthritis,5444,DOID:7148,14393,5807
C0003873,Rheumatoid Arthritis,5453,DOID:7148,10798,5807
C0003873,Rheumatoid Arthritis,54541,DOID:7148,4536,5807
C0003873,Rheumatoid Arthritis,54826,DOID:7148,15776,5807
C0003873,Rheumatoid Arthritis,54899,DOID:7148,4534,5807
C0003873,Rheumatoid Arthritis,55289,DOID:7148,9054,5807
C0003873,Rheumatoid Arthritis,55755,DOID:7148,14198,5807
C0003873,Rheumatoid Arthritis,5583,DOID:7148,11933,5807
C0003873,Rheumatoid Arthritis,5588,DOID:7148,11938,5807
C0003873,Rheumatoid Arthritis,55937,DOID:7148,16290,5807
C0003873,Rheumatoid Arthritis,55971,DOID:7148,3751,5807
C0003873,Rheumatoid Arthritis,5673,DOID:7148,1312,5807
C0003873,Rheumatoid Arthritis,56901,DOID:7148,13991,5807
C0003873,Rheumatoid Arthritis,57007,DOID:7148,4609,5807
C0003873,Rheumatoid Arthritis,5743,DOID:7148,7319,5807
C0003873,Rheumatoid Arthritis,5747,DOID:7148,7323,5807
C0003873,Rheumatoid Arthritis,57705,DOID:7148,10242,5807
C0003873,Rheumatoid Arthritis,5771,DOID:7148,12359,5807
C0003873,Rheumatoid Arthritis,57719,DOID:7148,12996,5807
C0003873,Rheumatoid Arthritis,5788,DOID:7148,3408,5807
C0003873,Rheumatoid Arthritis,5890,DOID:7148,13215,5807
C0003873,Rheumatoid Arthritis,5911,DOID:7148,7060,5807
C0003873,Rheumatoid Arthritis,5966,DOID:7148,16246,5807
C0003873,Rheumatoid Arthritis,597,DOID:7148,3598,5807
C0003873,Rheumatoid Arthritis,624,DOID:7148,295,5807
C0003873,Rheumatoid Arthritis,633,DOID:7148,5927,5807
C0003873,Rheumatoid Arthritis,6355,DOID:7148,5470,5807
C0003873,Rheumatoid Arthritis,6366,DOID:7148,14277,5807
C0003873,Rheumatoid Arthritis,6372,DOID:7148,4839,5807
C0003873,Rheumatoid Arthritis,639,DOID:7148,3245,5807
C0003873,Rheumatoid Arthritis,640,DOID:7148,8303,5807
