DOID 1,DOID 2,Disease 1,Disease 2
DOID:0050437,DOID:3211,131,3780
DOID:0050438,DOID:0050736,132,381
DOID:0050439,DOID:0050737,133,382
DOID:0050440,DOID:811,134,6174
DOID:0050441,DOID:1927,135,3150
DOID:0050444,DOID:906,136,6507
DOID:0050445,DOID:10609,137,1493
DOID:0050448,DOID:37,138,4055
DOID:0050449,DOID:0050736,139,381
DOID:0050450,DOID:447,140,4470
DOID:0050451,DOID:10273,141,1367
DOID:0050452,DOID:906,142,6507
DOID:0050453,DOID:2490,143,3396
DOID:0050454,DOID:2490,144,3396
DOID:0050456,DOID:0050338,145,108
DOID:0050457,DOID:12336,146,2128
DOID:0050458,DOID:4972,147,4755
DOID:0050459,DOID:2485,148,3395
DOID:0050460,DOID:0060388,149,1017
DOID:0050461,DOID:3211,150,3780
DOID:0050462,DOID:0050737,151,382
DOID:0050463,DOID:2256,152,3306
DOID:0050464,DOID:9455,153,6653
DOID:0050465,DOID:3883,154,4146
DOID:0050466,DOID:0050736,155,381
DOID:0050467,DOID:37,156,4055
DOID:0050468,DOID:225,157,3303
DOID:0050469,DOID:0050736,158,381
DOID:0050470,DOID:0050737,159,382
DOID:0050471,DOID:0050736,160,381
DOID:0050472,DOID:0050736,161,381
DOID:0050473,DOID:0050737,162,382
DOID:0050474,DOID:0050737,163,382
DOID:0050475,DOID:0050739,164,384
DOID:0050476,DOID:3146,165,3736
DOID:0050477,DOID:447,166,4470
DOID:0050480,DOID:11256,167,1748
DOID:0050481,DOID:11256,168,1748
DOID:0050484,DOID:11104,169,1674
DOID:0050485,DOID:0050338,170,108
DOID:0050486,DOID:37,171,4055
DOID:0050487,DOID:0050486,172,171
DOID:0050488,DOID:9856,173,6813
DOID:0050489,DOID:12176,174,2069
DOID:0050490,DOID:9988,175,6873
DOID:0050491,DOID:9988,176,6873
DOID:0050495,DOID:934,177,6612
DOID:0050508,DOID:8736,178,6424
DOID:0050513,DOID:0050515,179,181
DOID:0050514,DOID:0050515,180,181
DOID:0050515,DOID:4953,181,4742
DOID:0050516,DOID:934,182,6612
DOID:0050517,DOID:934,183,6612
DOID:0050518,DOID:934,184,6612
DOID:0050521,DOID:934,185,6612
DOID:0050522,DOID:11266,186,1755
DOID:0050523,DOID:715,187,5808
DOID:0050524,DOID:630,188,5474
DOID:0050526,DOID:225,189,3303
DOID:0050527,DOID:3146,190,3736
DOID:0050528,DOID:0050737,191,382
DOID:0050529,DOID:12377,192,2152
DOID:0050530,DOID:12377,193,2152
DOID:0050534,DOID:8499,194,6318
DOID:0050535,DOID:2462,195,3385
DOID:0050536,DOID:0050737,196,382
DOID:0050537,DOID:83,197,6241
DOID:0050538,DOID:10595,198,1482
DOID:0050539,DOID:10595,199,1482
DOID:0050540,DOID:10595,200,1482
DOID:0050541,DOID:10595,201,1482
DOID:0050542,DOID:10595,202,1482
DOID:0050543,DOID:10595,203,1482
DOID:0050544,DOID:9252,204,6569
DOID:0050545,DOID:0080015,205,1173
DOID:0050546,DOID:9553,206,6696
DOID:0050547,DOID:3973,207,4190
DOID:0050548,DOID:0060053,208,691
DOID:0050549,DOID:225,209,3303
DOID:0050553,DOID:0050737,210,382
DOID:0050554,DOID:8955,211,6483
DOID:0050556,DOID:0050950,212,592
DOID:0050557,DOID:9884,213,6827
DOID:0050558,DOID:0050557,214,213
DOID:0050559,DOID:0050557,215,213
DOID:0050560,DOID:0050557,216,213
DOID:0050561,DOID:0050704,217,351
DOID:0050562,DOID:0050703,218,350
DOID:0050563,DOID:2742,219,3530
DOID:0050564,DOID:0050563,220,219
DOID:0050565,DOID:0050563,221,219
DOID:0050566,DOID:0050563,222,219
DOID:0050567,DOID:0080015,223,1173
DOID:0050568,DOID:1934,224,3158
DOID:0050569,DOID:0050737,225,382
DOID:0050570,DOID:5212,226,4879
DOID:0050571,DOID:5212,227,4879
DOID:0050572,DOID:8466,228,6305
DOID:0050573,DOID:9252,229,6569
DOID:0050574,DOID:0050573,230,229
DOID:0050575,DOID:0050573,231,229
DOID:0050576,DOID:0050737,232,382
DOID:0050577,DOID:0050737,233,382
DOID:0050578,DOID:4448,234,4457
DOID:0050579,DOID:2747,235,3535
DOID:0050580,DOID:4977,236,4758
DOID:0050581,DOID:1934,237,3158
DOID:0050584,DOID:8200,238,6210
DOID:0050585,DOID:811,239,6174
DOID:0050587,DOID:10937,240,1613
DOID:0050588,DOID:0050557,241,213
DOID:0050589,DOID:5295,242,4929
DOID:0050590,DOID:1227,243,2099
DOID:0050591,DOID:1091,244,1598
DOID:0050592,DOID:0050737,245,382
DOID:0050593,DOID:1686,246,3040
DOID:0050594,DOID:2747,247,3535
DOID:0050596,DOID:883,248,6444
DOID:0050597,DOID:1395,249,2663
DOID:0050598,DOID:399,250,4196
DOID:0050599,DOID:0050598,251,250
DOID:0050600,DOID:0050737,252,382
DOID:0050601,DOID:0050736,253,381
DOID:0050602,DOID:0050737,254,382
DOID:0050603,DOID:2256,255,3306
DOID:0050604,DOID:2256,256,3306
DOID:0050605,DOID:896,257,6485
DOID:0050606,DOID:161,258,3004
DOID:0050608,DOID:3369,259,3876
DOID:0050610,DOID:8719,260,6419
DOID:0050611,DOID:8719,261,6419
DOID:0050612,DOID:8719,262,6419
DOID:0050613,DOID:8719,263,6419
DOID:0050614,DOID:8719,264,6419
DOID:0050615,DOID:0050686,265,333
DOID:0050616,DOID:192,266,3143
DOID:0050617,DOID:192,267,3143
DOID:0050618,DOID:192,268,3143
DOID:0050619,DOID:0050615,269,265
DOID:0050620,DOID:5974,270,5333
DOID:0050621,DOID:0060085,271,720
DOID:0050622,DOID:0060085,272,720
DOID:0050623,DOID:731,273,5868
DOID:0050624,DOID:0060085,274,720
DOID:0050625,DOID:3117,275,3715
DOID:0050626,DOID:3119,276,3717
DOID:0050628,DOID:535,277,4963
DOID:0050629,DOID:0050737,278,382
DOID:0050630,DOID:5614,279,5134
DOID:0050631,DOID:0050735,280,380
DOID:0050632,DOID:0050737,281,382
DOID:0050633,DOID:5614,282,5134
DOID:0050634,DOID:987,283,6821
DOID:0050635,DOID:10969,284,1627
DOID:0050636,DOID:9120,285,6527
DOID:0050637,DOID:9120,286,6527
DOID:0050638,DOID:9120,287,6527
DOID:0050639,DOID:9120,288,6527
DOID:0050640,DOID:0080027,289,1182
DOID:0050641,DOID:583,290,5273
DOID:0050642,DOID:11252,291,1746
DOID:0050643,DOID:4123,292,4275
DOID:0050644,DOID:178,293,3084
DOID:0050645,DOID:65,294,5546
DOID:0050646,DOID:66,295,5589
DOID:0050647,DOID:0050735,296,380
DOID:0050648,DOID:2256,297,3306
DOID:0050649,DOID:896,298,6485
DOID:0050650,DOID:0060224,299,853
DOID:0050651,DOID:1681,300,3038
DOID:0050654,DOID:11971,301,1995
DOID:0050655,DOID:1459,302,2887
DOID:0050656,DOID:0050737,303,382
DOID:0050657,DOID:0050736,304,381
DOID:0050658,DOID:0050736,305,381
DOID:0050659,DOID:679,306,5665
DOID:0050660,DOID:0050736,307,381
DOID:0050661,DOID:4448,308,4457
DOID:0050662,DOID:4448,309,4457
DOID:0050663,DOID:0050557,310,213
DOID:0050664,DOID:8466,311,6305
DOID:0050665,DOID:0050696,312,343
DOID:0050666,DOID:0050696,313,343
DOID:0050667,DOID:0050696,314,343
DOID:0050668,DOID:0050696,315,343
DOID:0050669,DOID:1969,316,3170
DOID:0050670,DOID:1969,317,3170
DOID:0050671,DOID:1612,318,3005
DOID:0050672,DOID:1969,319,3170
DOID:0050673,DOID:1969,320,3170
DOID:0050674,DOID:1701,321,3047
DOID:0050675,DOID:0050736,322,381
DOID:0050676,DOID:0050736,323,381
DOID:0050677,DOID:0050737,324,382
DOID:0050678,DOID:0050736,325,381
DOID:0050679,DOID:13911,326,2643
DOID:0050680,DOID:2256,327,3306
DOID:0050681,DOID:0050735,328,380
DOID:0050682,DOID:0050737,329,382
DOID:0050683,DOID:8501,330,6321
DOID:0050684,DOID:0050737,331,382
DOID:0050685,DOID:305,332,3681
DOID:0050686,DOID:162,333,3009
DOID:0050687,DOID:162,334,3009
DOID:0050688,DOID:5672,335,5169
DOID:0050689,DOID:0050739,336,384
DOID:0050690,DOID:2256,337,3306
DOID:0050691,DOID:0050736,338,381
DOID:0050692,DOID:440,339,4429
DOID:0050693,DOID:0050736,340,381
DOID:0050694,DOID:0050736,341,381
DOID:0050695,DOID:5158,342,4848
DOID:0050696,DOID:0060038,343,677
DOID:0050697,DOID:780,344,6065
DOID:0050698,DOID:65,345,5546
DOID:0050699,DOID:447,346,4470
DOID:0050700,DOID:114,347,1803
DOID:0050701,DOID:1826,348,3109
DOID:0050702,DOID:0050701,349,348
DOID:0050703,DOID:0050701,350,348
DOID:0050704,DOID:0050701,351,348
DOID:0050705,DOID:0050701,352,348
DOID:0050706,DOID:0050701,353,348
DOID:0050708,DOID:0050704,354,351
DOID:0050709,DOID:0050702,355,349
DOID:0050710,DOID:9252,356,6569
DOID:0050711,DOID:2351,357,3341
DOID:0050712,DOID:0050798,358,443
DOID:0050713,DOID:700,359,5745
DOID:0050715,DOID:14749,360,2923
DOID:0050716,DOID:14749,361,2923
DOID:0050717,DOID:14749,362,2923
DOID:0050718,DOID:655,363,5567
DOID:0050719,DOID:0050718,364,363
DOID:0050720,DOID:9252,365,6569
DOID:0050721,DOID:9252,366,6569
DOID:0050722,DOID:0050721,367,366
DOID:0050723,DOID:0050721,368,366
DOID:0050724,DOID:0050721,369,366
DOID:0050725,DOID:9275,370,6586
DOID:0050726,DOID:9275,371,6586
DOID:0050727,DOID:9275,372,6586
DOID:0050728,DOID:2978,373,3639
DOID:0050729,DOID:9455,374,6653
DOID:0050730,DOID:700,375,5745
DOID:0050731,DOID:0050718,376,363
DOID:0050732,DOID:14749,377,2923
DOID:0050733,DOID:14749,378,2923
DOID:0050734,DOID:0050731,379,376
DOID:0050735,DOID:0050177,380,65
DOID:0050736,DOID:0050739,381,384
DOID:0050737,DOID:0050739,382,384
DOID:0050738,DOID:0050177,383,65
DOID:0050739,DOID:0050177,384,65
DOID:0050740,DOID:225,385,3303
DOID:0050741,DOID:9973,386,6864
DOID:0050742,DOID:9973,387,6864
DOID:0050743,DOID:0060060,388,697
DOID:0050744,DOID:0060060,389,697
DOID:0050745,DOID:707,390,5776
DOID:0050746,DOID:707,391,5776
DOID:0050747,DOID:707,392,5776
DOID:0050748,DOID:707,393,5776
DOID:0050749,DOID:0050743,394,388
DOID:0050750,DOID:0050748,395,393
DOID:0050751,DOID:1040,396,1420
DOID:0050752,DOID:332,397,3844
DOID:0050753,DOID:2786,398,3560
DOID:0050754,DOID:0050950,399,592
DOID:0050755,DOID:0050950,400,592
DOID:0050756,DOID:14503,401,2861
DOID:0050757,DOID:700,402,5745
DOID:0050758,DOID:3650,403,4024
DOID:0050759,DOID:450,404,4484
DOID:0050760,DOID:423,405,4326
DOID:0050761,DOID:9120,406,6527
DOID:0050762,DOID:9252,407,6569
DOID:0050763,DOID:225,408,3303
DOID:0050764,DOID:225,409,3303
DOID:0050765,DOID:1289,410,2292
DOID:0050766,DOID:0050765,411,410
DOID:0050767,DOID:2256,412,3306
DOID:0050768,DOID:700,413,5745
DOID:0050769,DOID:225,414,3303
DOID:0050770,DOID:0050736,415,381
DOID:0050771,DOID:0060084,416,719
DOID:0050772,DOID:0050952,417,594
DOID:0050773,DOID:169,418,3042
DOID:0050774,DOID:0050737,419,382
DOID:0050775,DOID:2256,420,3306
DOID:0050776,DOID:0050889,421,531
DOID:0050777,DOID:0060340,422,969
DOID:0050778,DOID:0060340,423,969
DOID:0050779,DOID:0050737,424,382
DOID:0050780,DOID:0050177,425,65
DOID:0050781,DOID:0050735,426,380
DOID:0050782,DOID:225,427,3303
DOID:0050783,DOID:2377,428,3352
DOID:0050784,DOID:2377,429,3352
DOID:0050785,DOID:2377,430,3352
DOID:0050786,DOID:0050736,431,381
DOID:0050787,DOID:0050736,432,381
DOID:0050788,DOID:0050736,433,381
DOID:0050789,DOID:0050736,434,381
DOID:0050790,DOID:0050737,435,382
DOID:0050791,DOID:3765,436,4096
DOID:0050792,DOID:0050736,437,381
DOID:0050793,DOID:0050736,438,381
DOID:0050794,DOID:1934,439,3158
DOID:0050795,DOID:5679,440,5173
DOID:0050796,DOID:0050737,441,382
DOID:0050797,DOID:906,442,6507
DOID:0050798,DOID:9252,443,6569
DOID:0050799,DOID:0050798,444,443
DOID:0050800,DOID:0050798,445,443
DOID:0050801,DOID:987,446,6821
DOID:0050802,DOID:13359,447,2449
DOID:0050803,DOID:3068,448,3684
DOID:0050804,DOID:3068,449,3684
DOID:0050805,DOID:3068,450,3684
DOID:0050806,DOID:3068,451,3684
DOID:0050807,DOID:0050737,452,382
DOID:0050809,DOID:12798,453,2269
DOID:0050810,DOID:5113,454,4817
DOID:0050811,DOID:1701,455,3047
DOID:0050812,DOID:0080027,456,1182
DOID:0050813,DOID:0080027,457,1182
DOID:0050814,DOID:0050737,458,382
DOID:0050815,DOID:1492,459,2948
DOID:0050816,DOID:0050737,460,382
DOID:0050817,DOID:10871,461,1586
DOID:0050818,DOID:0050731,462,376
DOID:0050819,DOID:0050739,463,384
DOID:0050820,DOID:10273,464,1367
DOID:0050821,DOID:0050820,465,464
DOID:0050822,DOID:0050820,466,464
DOID:0050823,DOID:0050820,467,464
DOID:0050824,DOID:10273,468,1367
DOID:0050825,DOID:114,469,1803
DOID:0050826,DOID:4079,470,4257
DOID:0050827,DOID:4079,471,4257
DOID:0050828,DOID:178,472,3084
DOID:0050829,DOID:1287,473,2289
DOID:0050830,DOID:0050828,474,472
DOID:0050831,DOID:1289,475,2292
DOID:0050832,DOID:655,476,5567
DOID:0050833,DOID:0050832,477,476
DOID:0050834,DOID:225,478,3303
DOID:0050835,DOID:543,479,5011
DOID:0050836,DOID:543,480,5011
DOID:0050837,DOID:543,481,5011
DOID:0050838,DOID:543,482,5011
DOID:0050839,DOID:0050836,483,480
DOID:0050840,DOID:0050836,484,480
DOID:0050841,DOID:0050836,485,480
DOID:0050842,DOID:0050836,486,480
DOID:0050843,DOID:0050836,487,480
DOID:0050844,DOID:0050836,488,480
DOID:0050845,DOID:0050836,489,480
DOID:0050846,DOID:0050837,490,481
DOID:0050847,DOID:535,491,4963
DOID:0050848,DOID:0050847,492,491
DOID:0050849,DOID:10022,493,1270
DOID:0050850,DOID:936,494,6619
DOID:0050851,DOID:2921,495,3615
DOID:0050852,DOID:326,496,3804
DOID:0050853,DOID:10128,497,1307
DOID:0050854,DOID:0050736,498,381
DOID:0050855,DOID:557,499,5104
DOID:0050856,DOID:0060038,500,677
DOID:0050857,DOID:0050737,501,382
DOID:0050858,DOID:225,502,3303
DOID:0050859,DOID:1679,503,3036
DOID:0050860,DOID:4610,504,4541
DOID:0050861,DOID:9256,505,6573
DOID:0050862,DOID:345,506,3919
DOID:0050863,DOID:12010,507,2012
DOID:0050864,DOID:12010,508,2012
DOID:0050865,DOID:8649,509,6390
DOID:0050866,DOID:8618,510,6373
DOID:0050867,DOID:225,511,3303
DOID:0050868,DOID:657,512,5578
DOID:0050869,DOID:657,513,5578
DOID:0050870,DOID:1324,514,2412
DOID:0050871,DOID:0060084,515,719
DOID:0050872,DOID:4556,516,4522
DOID:0050873,DOID:0060060,517,697
DOID:0050875,DOID:5409,518,5000
DOID:0050876,DOID:4138,519,4279
DOID:0050877,DOID:26,520,3451
DOID:0050879,DOID:0050953,521,595
DOID:0050880,DOID:225,522,3303
DOID:0050881,DOID:225,523,3303
DOID:0050882,DOID:1441,524,2823
DOID:0050883,DOID:1289,525,2292
DOID:0050884,DOID:4194,526,4307
DOID:0050885,DOID:225,527,3303
DOID:0050886,DOID:2476,528,3390
DOID:0050887,DOID:0050736,529,381
DOID:0050888,DOID:1059,530,1478
DOID:0050889,DOID:1059,531,1478
DOID:0050890,DOID:1289,532,2292
DOID:0050891,DOID:656,533,5572
DOID:0050892,DOID:5719,534,5205
DOID:0050893,DOID:0050625,535,275
DOID:0050894,DOID:0060084,536,719
DOID:0050895,DOID:0060094,537,728
DOID:0050896,DOID:2762,538,3544
DOID:0050897,DOID:3371,539,3878
DOID:0050898,DOID:0060094,540,728
DOID:0050899,DOID:4203,541,4313
DOID:0050900,DOID:4153,542,4287
DOID:0050901,DOID:3187,543,3760
DOID:0050902,DOID:4706,544,4599
DOID:0050903,DOID:14384,545,2816
DOID:0050904,DOID:8850,546,6449
DOID:0050905,DOID:3350,547,3864
DOID:0050906,DOID:0060096,548,730
DOID:0050907,DOID:3306,549,3831
DOID:0050908,DOID:4960,550,4747
DOID:0050909,DOID:0060060,551,697
DOID:0050910,DOID:1517,552,2959
DOID:0050911,DOID:11239,553,1736
DOID:0050912,DOID:235,554,3340
DOID:0050913,DOID:5672,555,5169
DOID:0050914,DOID:4610,556,4541
DOID:0050915,DOID:1984,557,3176
DOID:0050916,DOID:1325,558,2417
DOID:0050917,DOID:5421,559,5006
DOID:0050918,DOID:119,560,1983
DOID:0050919,DOID:4876,561,4691
DOID:0050920,DOID:8858,562,6451
DOID:0050921,DOID:0060119,563,750
DOID:0050922,DOID:3119,564,3717
DOID:0050923,DOID:3963,565,4184
DOID:0050924,DOID:4045,566,4231
DOID:0050925,DOID:10154,567,1319
DOID:0050926,DOID:13499,568,2503
DOID:0050927,DOID:1737,569,3062
DOID:0050928,DOID:2394,570,3360
DOID:0050929,DOID:1909,571,3139
DOID:0050930,DOID:8849,572,6447
DOID:0050931,DOID:9036,573,6502
DOID:0050932,DOID:3905,574,4155
DOID:0050933,DOID:4001,575,4201
DOID:0050934,DOID:4001,576,4201
DOID:0050935,DOID:371,577,4065
DOID:0050936,DOID:5719,578,5205
DOID:0050937,DOID:5875,579,5300
DOID:0050938,DOID:3459,580,3926
DOID:0050939,DOID:9460,581,6656
DOID:0050940,DOID:7519,582,5954
DOID:0050941,DOID:0050952,583,594
DOID:0050942,DOID:0050952,584,594
DOID:0050943,DOID:0050952,585,594
DOID:0050944,DOID:0050952,586,594
DOID:0050945,DOID:0050952,587,594
DOID:0050946,DOID:0050950,588,592
DOID:0050947,DOID:10609,589,1493
DOID:0050948,DOID:10609,590,1493
DOID:0050949,DOID:10609,591,1493
DOID:0050950,DOID:0050951,592,593
DOID:0050951,DOID:1289,593,2292
DOID:0050952,DOID:0050951,594,593
DOID:0050953,DOID:0050951,595,593
DOID:0050954,DOID:1441,596,2823
DOID:0050955,DOID:1441,597,2823
DOID:0050956,DOID:1441,598,2823
DOID:0050957,DOID:1441,599,2823
DOID:0050958,DOID:1441,600,2823
DOID:0050959,DOID:1441,601,2823
DOID:0050960,DOID:1441,602,2823
DOID:0050961,DOID:1441,603,2823
DOID:0050962,DOID:1441,604,2823
DOID:0050963,DOID:1441,605,2823
DOID:0050964,DOID:1441,606,2823
DOID:0050965,DOID:1441,607,2823
DOID:0050966,DOID:1441,608,2823
DOID:0050967,DOID:1441,609,2823
DOID:0050968,DOID:1441,610,2823
DOID:0050969,DOID:1441,611,2823
DOID:0050970,DOID:1441,612,2823
DOID:0050971,DOID:1441,613,2823
DOID:0050972,DOID:1441,614,2823
DOID:0050973,DOID:1441,615,2823
DOID:0050974,DOID:1441,616,2823
DOID:0050975,DOID:1441,617,2823
DOID:0050976,DOID:1441,618,2823
DOID:0050977,DOID:1441,619,2823
DOID:0050978,DOID:1441,620,2823
DOID:0050979,DOID:1441,621,2823
DOID:0050980,DOID:1441,622,2823
DOID:0050981,DOID:1441,623,2823
DOID:0050982,DOID:1441,624,2823
DOID:0050983,DOID:1441,625,2823
DOID:0050984,DOID:1441,626,2823
DOID:0050985,DOID:1441,627,2823
DOID:0050986,DOID:1441,628,2823
DOID:0050987,DOID:1441,629,2823
DOID:0050988,DOID:1441,630,2823
DOID:0050989,DOID:963,631,6724
DOID:0050990,DOID:963,632,6724
DOID:0050991,DOID:963,633,6724
DOID:0050992,DOID:963,634,6724
DOID:0050993,DOID:963,635,6724
DOID:0050994,DOID:963,636,6724
DOID:0050995,DOID:963,637,6724
DOID:0050996,DOID:963,638,6724
DOID:0050997,DOID:0050950,639,592
DOID:0050998,DOID:0050753,640,398
DOID:0050999,DOID:0050950,641,592
DOID:0060000,DOID:10314,642,1380
DOID:0060001,DOID:303,643,3672
DOID:0060002,DOID:626,644,5456
DOID:0060004,DOID:438,645,4418
DOID:0060005,DOID:417,646,4296
DOID:0060006,DOID:627,647,5459
DOID:0060007,DOID:627,648,5459
DOID:0060008,DOID:627,649,5459
DOID:0060009,DOID:627,650,5459
DOID:0060010,DOID:628,651,5466
DOID:0060011,DOID:627,652,5459
DOID:0060012,DOID:627,653,5459
DOID:0060013,DOID:627,654,5459
DOID:0060014,DOID:627,655,5459
DOID:0060015,DOID:627,656,5459
DOID:0060016,DOID:627,657,5459
DOID:0060017,DOID:627,658,5459
DOID:0060018,DOID:627,659,5459
DOID:0060019,DOID:627,660,5459
DOID:0060020,DOID:627,661,5459
DOID:0060021,DOID:628,662,5466
DOID:0060022,DOID:628,663,5466
DOID:0060023,DOID:628,664,5466
DOID:0060024,DOID:2115,665,3240
DOID:0060025,DOID:2115,666,3240
DOID:0060026,DOID:2115,667,3240
DOID:0060027,DOID:2583,668,3444
DOID:0060028,DOID:2583,669,3444
DOID:0060029,DOID:417,670,4296
DOID:0060030,DOID:417,671,4296
DOID:0060031,DOID:417,672,4296
DOID:0060032,DOID:417,673,4296
DOID:0060033,DOID:438,674,4418
DOID:0060036,DOID:0050700,675,347
DOID:0060037,DOID:150,676,2953
DOID:0060038,DOID:0060037,677,676
DOID:0060039,DOID:417,678,4296
DOID:0060040,DOID:0060037,679,676
DOID:0060041,DOID:0060040,680,679
DOID:0060042,DOID:0060041,681,680
DOID:0060043,DOID:150,682,2953
DOID:0060044,DOID:0060043,683,682
DOID:0060045,DOID:1766,684,3079
DOID:0060046,DOID:93,685,6599
DOID:0060047,DOID:8927,686,6472
DOID:0060048,DOID:599,687,5339
DOID:0060049,DOID:417,688,4296
DOID:0060050,DOID:417,689,4296
DOID:0060051,DOID:417,690,4296
DOID:0060053,DOID:870,691,6414
DOID:0060054,DOID:0060053,692,691
DOID:0060055,DOID:0050736,693,381
DOID:0060056,DOID:2914,694,3610
DOID:0060057,DOID:3044,695,3678
DOID:0060058,DOID:2531,696,3417
DOID:0060060,DOID:0060058,697,696
DOID:0060061,DOID:0050749,698,394
DOID:0060062,DOID:557,699,5104
DOID:0060063,DOID:8955,700,6483
DOID:0060064,DOID:8955,701,6483
DOID:0060065,DOID:8955,702,6483
DOID:0060066,DOID:8955,703,6483
DOID:0060067,DOID:700,704,5745
